V_bias/mV,Current,Temperature
-2400,-8.00634e-11,1100.0
-2300,-7.815204999999999e-11,1100.0
-2200,-7.62788e-11,1100.0
-2100,-7.42611e-11,1100.0
-2000,-7.221635e-11,1100.0
-1900,-7.02251e-11,1100.0
-1800,-6.814999999999999e-11,1100.0
-1700,-6.594115e-11,1100.0
-1600,-6.37286e-11,1100.0
-1500,-6.124145e-11,1100.0
-1400,-5.854074999999999e-11,1100.0
-1300,-5.556905e-11,1100.0
-1200,-5.22654e-11,1100.0
-1100,-4.8630070000000006e-11,1100.0
-1000,-4.483063e-11,1100.0
-900,-4.0725989999999997e-11,1100.0
-800,-3.6434315e-11,1100.0
-700,-3.2009265e-11,1100.0
-600,-2.7607104999999998e-11,1100.0
-500,-2.3105755000000003e-11,1100.0
-400,-1.864632e-11,1100.0
-300,-1.3965665e-11,1100.0
-200,-9.388015e-12,1100.0
-100,-4.703541000000001e-12,1100.0
0,1.182564e-13,1100.0
100,4.4861025e-12,1100.0
200,9.21634e-12,1100.0
300,1.379404e-11,1100.0
400,1.8501349999999998e-11,1100.0
500,2.2998960000000002e-11,1100.0
600,2.7652884999999998e-11,1100.0
700,3.2219090000000004e-11,1100.0
800,3.6808170000000003e-11,1100.0
900,4.1290565e-11,1100.0
1000,4.563933500000001e-11,1100.0
1100,4.996902e-11,1100.0
1200,5.4146200000000005e-11,1100.0
1300,5.83232e-11,1100.0
1400,6.23287e-11,1100.0
1500,6.6193e-11,1100.0
1600,6.979020000000001e-11,1100.0
1700,7.32043e-11,1100.0
1800,7.64277e-11,1100.0
1900,7.946434999999999e-11,1100.0
2000,8.24706e-11,1100.0
2100,8.530469999999999e-11,1100.0
2200,8.815815e-11,1100.0
2300,9.072540000000001e-11,1100.0
2400,9.34683e-11,1100.0
2500,9.61349e-11,1100.0
2600,9.885850000000001e-11,1100.0
2700,1.015326e-10,1100.0
2800,1.0417620000000001e-10,1100.0
2900,1.0681595e-10,1100.0
3000,1.094863e-10,1100.0
3100,1.1213359999999999e-10,1100.0
3200,1.1473525e-10,1100.0
3300,1.172987e-10,1100.0
3400,1.1990409999999998e-10,1100.0
3500,1.226012e-10,1100.0
3600,1.2514555e-10,1100.0
3700,1.2767085000000002e-10,1100.0
3800,1.302535e-10,1100.0
3900,1.3285895000000002e-10,1100.0
4000,1.3533840000000003e-10,1100.0
4100,1.3783699999999999e-10,1100.0
4200,1.4039275000000002e-10,1100.0
4300,1.4288765e-10,1100.0
4400,1.4541685e-10,1100.0
4500,1.479307e-10,1100.0
4600,1.504371e-10,1100.0
4700,1.5289365e-10,1100.0
4800,1.5530460000000001e-10,1100.0
4900,1.5777325000000002e-10,1100.0
5000,1.6026814999999998e-10,1100.0
-5000,-1.918842e-10,1150.0
-4900,-2.0963974999999998e-10,1150.0
-4800,-2.076104e-10,1150.0
-4700,-2.0527195e-10,1150.0
-4600,-2.0294495e-10,1150.0
-4500,-2.0021550000000002e-10,1150.0
-4400,-1.9756820000000002e-10,1150.0
-4300,-1.9514585000000001e-10,1150.0
-4200,-1.925557e-10,1150.0
-4100,-1.897252e-10,1150.0
-4000,-1.868947e-10,1150.0
-3900,-1.8394015e-10,1150.0
-3800,-1.8098755e-10,1150.0
-3700,-1.783708e-10,1150.0
-3600,-1.7533430000000003e-10,1150.0
-3500,-1.7237395e-10,1150.0
-3400,-1.6969989999999999e-10,1150.0
-3300,-1.6677975e-10,1150.0
-3200,-1.6385585e-10,1150.0
-3100,-1.6092615e-10,1150.0
-3000,-1.5803075e-10,1150.0
-2900,-1.5490024999999998e-10,1150.0
-2800,-1.5179695000000002e-10,1150.0
-2700,-1.4860795e-10,1150.0
-2600,-1.4534055e-10,1150.0
-2500,-1.420409e-10,1150.0
-2400,-1.3900245e-10,1150.0
-2300,-1.3546235e-10,1150.0
-2200,-1.319453e-10,1150.0
-2100,-1.2849860000000001e-10,1150.0
-2000,-1.2507119999999998e-10,1150.0
-1900,-1.2120869999999999e-10,1150.0
-1800,-1.175238e-10,1150.0
-1700,-1.1348595e-10,1150.0
-1600,-1.0894455e-10,1150.0
-1500,-1.0457475000000001e-10,1150.0
-1400,-9.909120000000001e-11,1150.0
-1300,-9.364190000000001e-11,1150.0
-1200,-8.735720000000001e-11,1150.0
-1100,-8.090845e-11,1150.0
-1000,-7.40435e-11,1150.0
-900,-6.713125e-11,1150.0
-800,-6.001885e-11,1150.0
-700,-5.265655e-11,1150.0
-600,-4.507095e-11,1150.0
-500,-3.7878185e-11,1150.0
-400,-3.0588295e-11,1150.0
-300,-2.3058089999999998e-11,1150.0
-200,-1.5312265e-11,1150.0
-100,-7.70763e-12,1150.0
0,4.882839500000001e-13,1150.0
100,7.3624e-12,1150.0
200,1.506622e-11,1150.0
300,2.2424834999999998e-11,1150.0
400,3.013625e-11,1150.0
500,3.7489080000000003e-11,1150.0
600,4.4866860000000006e-11,1150.0
700,5.24963e-11,1150.0
800,5.977845000000001e-11,1150.0
900,6.7467e-11,1150.0
1000,7.4446e-11,1150.0
1100,8.16733e-11,1150.0
1200,8.890975e-11,1150.0
1300,9.60527e-11,1150.0
1400,1.027991e-10,1150.0
1500,1.0950335000000002e-10,1150.0
1600,1.1576895e-10,1150.0
1700,1.2238175e-10,1150.0
1800,1.280963e-10,1150.0
1900,1.3374765e-10,1150.0
2000,1.395517e-10,1150.0
2100,1.4443075e-10,1150.0
2200,1.495329e-10,1150.0
2300,1.5446925e-10,1150.0
2400,1.591008e-10,1150.0
2500,1.640389e-10,1150.0
2600,1.6865075000000001e-10,1150.0
2700,1.7330105e-10,1150.0
2800,1.779416e-10,1150.0
2900,1.8249625e-10,1150.0
3000,1.870205e-10,1150.0
3100,1.916153e-10,1150.0
3200,1.9625785e-10,1150.0
3300,2.0062365e-10,1150.0
3400,2.0481979999999998e-10,1150.0
3500,2.0937659999999998e-10,1150.0
3600,2.1381125000000002e-10,1150.0
3700,2.1819795000000003e-10,1150.0
3800,2.2230265000000002e-10,1150.0
3900,2.2677155000000004e-10,1150.0
4000,2.3118135e-10,1150.0
4100,2.3535649999999997e-10,1150.0
4200,2.3976065e-10,1150.0
4300,2.438615e-10,1150.0
4400,2.4814335e-10,1150.0
4500,2.5231865e-10,1150.0
4600,2.565453e-10,1150.0
4700,2.6098945000000003e-10,1150.0
4800,2.6485945e-10,1150.0
4900,2.6882105e-10,1150.0
5000,2.729256e-10,1150.0
-5000,-3.27189e-10,1200.0
-4900,-3.2570115000000003e-10,1200.0
-4800,-3.2361455e-10,1200.0
-4700,-3.2052075e-10,1200.0
-4600,-3.1739675000000006e-10,1200.0
-4500,-3.1409314999999997e-10,1200.0
-4400,-3.1041850000000004e-10,1200.0
-4300,-3.067792e-10,1200.0
-4200,-3.025944e-10,1200.0
-4100,-2.9889425e-10,1200.0
-4000,-2.9478955e-10,1200.0
-3900,-2.9061255e-10,1200.0
-3800,-2.8645445e-10,1200.0
-3700,-2.822201e-10,1200.0
-3600,-2.778713e-10,1200.0
-3500,-2.736714e-10,1200.0
-3400,-2.692272e-10,1200.0
-3300,-2.6456945e-10,1200.0
-3200,-2.602552e-10,1200.0
-3100,-2.5563935e-10,1200.0
-3000,-2.5084415e-10,1200.0
-2900,-2.459195e-10,1200.0
-2800,-2.4125405e-10,1200.0
-2700,-2.3611945e-10,1200.0
-2600,-2.3114515e-10,1200.0
-2500,-2.2574354999999998e-10,1200.0
-2400,-2.2074620000000004e-10,1200.0
-2300,-2.1529515000000003e-10,1200.0
-2200,-2.099164e-10,1200.0
-2100,-2.042057e-10,1200.0
-2000,-1.9846465e-10,1200.0
-1900,-1.9231155e-10,1200.0
-1800,-1.8613175e-10,1200.0
-1700,-1.7908595e-10,1200.0
-1600,-1.7139940000000001e-10,1200.0
-1500,-1.6347625000000003e-10,1200.0
-1400,-1.5447675000000002e-10,1200.0
